Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,264.979,290.762,286.417,286.607,185.142,171.574,206.360,223.806,201.194,227.010,207.406,290.416
Feb,270.822,305.076,315.243,289.814,194.883,154.564,201.957,227.420,206.749,218.373,221.689,305.959
Mar,302.574,329.780,319.523,304.464,215.442,170.356,204.217,226.872,225.282,202.205,247.652,366.499
Apr,325.282,335.742,307.814,315.335,215.461,185.808,212.424,240.962,248.499,168.891,252.603,362.802
May,336.999,323.604,310.352,317.434,238.170,198.011,209.441,255.096,254.551,168.528,263.170,391.262
Jun,317.543,303.747,312.212,318.334,244.226,206.681,205.881,255.885,242.043,185.422,268.979,430.142
Jul,312.760,295.498,310.886,313.514,243.736,195.243,201.173,252.232,244.000,194.397,275.656,396.952
Aug,311.269,316.859,309.355,300.640,230.513,189.375,209.000,251.367,233.625,194.449,277.448,348.593
Sep,309.018,329.898,305.299,294.222,207.239,193.817,231.182,252.216,231.496,195.888,278.338,328.918
Oct,295.877,322.934,290.306,275.729,199.077,197.357,218.591,253.793,235.168,192.792,288.501,339.017
Nov,292.486,298.131,280.742,251.172,190.701,192.522,224.227,235.381,232.575,187.609,296.571,326.649
Dec,280.713,285.606,282.773,223.404,179.496,195.915,216.781,212.152,228.857,193.990,290.185,